Name,Type,Capacity,Speed,URL
USB Flash Drive Mirex Color Blade Line 32GB (13600-FMULWH32),USB 2.0,32 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_32GB_13600_FMULWH32-2975179.html
USB Flash Drive Mirex Color Blade Line 8GB (13600-FMULWH08),USB 2.0,8 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_8GB_13600_FMULWH08-2975183.html
USB Flash Drive SmartBuy NY series Caribou 16GB (SB16GBCaribouQ),USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_NY_series_Caribou_16GB_SB16GBCaribouQ-2975203.html
USB Flash Drive Mirex Color Blade City 16GB (13600-FMUCIB16),USB 2.0,16 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_City_16GB_13600_FMUCIB16-3036941.html
USB Flash Drive Mirex Color Blade Line 16GB (13600-FMULWH16),USB 2.0,16 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_16GB_13600_FMULWH16-3040397.html
USB Flash Drive Silicon Power Jewel J80 128GB,USB 3.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Jewel_J80_128GB-3677761.html
USB Flash Drive SmartBuy Glossy USB 2.0 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_USB_20_64GB-3677843.html
USB Flash Drive SmartBuy Glossy Blue 32GB (SB32GBGS-B),USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Blue_32GB_SB32GBGS_B-3677845.html
USB Flash Drive SmartBuy Glossy Blue 8GB (SB8GBGS-B),USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Blue_8GB_SB8GBGS_B-3677847.html
USB Flash Drive Mirex CRAB 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_CRAB_16GB-3678075.html
USB Flash Drive SmartBuy Dock USB 3.0 32GB,USB 3.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Dock_USB_30_32GB-3678089.html
USB Flash Drive SanDisk Cruzer Glide 256GB,USB 2.0,256 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Cruzer_Glide_256GB-3678197.html
USB Flash Drive Mirex SWIVEL 64GB (13600-FMUSWT64),USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_SWIVEL_64GB_13600_FMUSWT64-3678235.html
USB Flash Drive SmartBuy V-Cut USB 3.0 128GB,USB 3.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_V_Cut_USB_30_128GB-3678241.html
USB Flash Drive SmartBuy Lara 64GB,USB 2.0,64 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Lara_64GB-3678327.html
USB Flash Drive Kingston DataTraveler microDuo 3C 64GB,USB 3.1/USB Type-C,64 Гб,100 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_microDuo_3C_64GB-3678373.html
USB Flash Drive Mirex CRAB 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_CRAB_32GB-3678417.html
USB Flash Drive Apacer AH111 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH111_64GB-3678435.html
USB Flash Drive SanDisk Ultra Dual Drive m3.0 64GB,USB 3.0/microUSB,64 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_m30_64GB-3678615.html
USB Flash Drive SanDisk Ultra Dual Drive m3.0 32GB,USB 3.0/microUSB,32 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_m30_32GB-3678617.html
USB Flash Drive SanDisk Ultra Dual Drive m3.0 128GB,USB 3.0/microUSB,128 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_m30_128GB-3678619.html
USB Flash Drive SmartBuy Wild Series Heart 16GB,USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Wild_Series_Heart_16GB-3678755.html
USB Flash Drive Silicon Power Blaze B25 64GB,USB 3.1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B25_64GB-3678761.html
USB Flash Drive Silicon Power Blaze B25 256GB,USB 3.1,256 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B25_256GB-3678767.html
USB Flash Drive ADATA UV320 64GB,USB 3.1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV320_64GB-3678781.html
USB Flash Drive ADATA UV320 128GB,USB 3.1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV320_128GB-3678787.html
